no,name,base_name,costume,rarity,weapon_type,cover,role,position,class_type,school,attack_type,defense_type,street_adaptation,outdoor_adaptation,indoor_adaptation,range,equipment1,equipment2,equipment3,recruit_type,obtain_type,icon_file,icon_label,wiki_url
1,アイリ（バンド）,アイリ,バンド,★1,SMG,○,STRIKER,FRONT,アタッカー,トリニティ,爆発,特殊装甲,3B,2A,5D,550,帽子,ヘアピン,お守り,-,○,icon/アイリ（バンド）.png,アイリ（バンド）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%A4%E3%83%AA%EF%BC%88%E3%83%90%E3%83%B3%E3%83%89%EF%BC%89
2,アオバ,アオバ,,★1,SG,×,STRIKER,FRONT,タンク,ハイランダー,振動,軽装備,3B,4C,2A,350,シューズ,バッグ,お守り,-,◇,icon/アオバ.png,アオバ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%AA%E3%83%90
3,アスナ,アスナ,,★1,AR,○,STRIKER,MIDDLE,アタッカー,ミレニアム,神秘,軽装備,3B,3B,3B,650,グローブ,ヘアピン,腕時計,○,○,icon/アスナ.png,アスナ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%B9%E3%83%8A
4,アツコ（水着）,アツコ,水着,★1,SMG,×,SPECIAL,BACK,ヒーラー,アリウス,振動,特殊装甲,3B,3B,3B,1000,シューズ,バッジ,ネックレス,-,◇,icon/アツコ（水着）.png,アツコ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%84%E3%82%B3%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
5,アヤネ（水着）,アヤネ,水着,★1,HG,×,SPECIAL,BACK,T.S,アビドス,貫通,軽装備,4C,2A,3B,1000,グローブ,バッグ,腕時計,-,○,icon/アヤネ（水着）.png,アヤネ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%A4%E3%83%8D%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
6,イズミ（水着）,イズミ,水着,★1,MG,×,STRIKER,BACK,サポーター,ゲヘナ,爆発,軽装備,3B,2A,4C,750,シューズ,バッグ,ネックレス,-,○,icon/イズミ（水着）.png,イズミ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%BA%E3%83%9F%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
7,イチカ（水着）,イチカ,水着,★1,AR,×,SPECIAL,BACK,サポーター,トリニティ,振動,特殊装甲,2A,3B,4C,1000,グローブ,バッグ,腕時計,-,◇,icon/イチカ（水着）.png,イチカ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%83%81%E3%82%AB%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
8,イブキ,イブキ,,★1,AR,○,STRIKER,MIDDLE,サポーター,ゲヘナ,神秘,重装甲,4C,3B,2A,650,グローブ,ヘアピン,ネックレス,-,◇,icon/イブキ_icon2.png,イブキ_icon2,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%83%96%E3%82%AD
9,オトギ,オトギ,,★1,SR,○,STRIKER,BACK,アタッカー,SRT,爆発,特殊装甲,3B,3B,3B,750,グローブ,ヘアピン,腕時計,-,○,icon/オトギ_icon2.png,オトギ_icon2,https://bluearchive.wikiru.jp/?%E3%82%AA%E3%83%88%E3%82%AE
10,カリン（制服）,カリン,制服,★1,SR,×,SPECIAL,BACK,アタッカー,ミレニアム,爆発,重装甲,3B,2A,4C,1000,帽子,ヘアピン,腕時計,-,◇,icon/カリン（制服）.png,カリン（制服）,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%AA%E3%83%B3%EF%BC%88%E5%88%B6%E6%9C%8D%EF%BC%89
